Name_eng,유동비율
SAMSUNG ELECTRONICS,2.35968
SK HYNIX INC,1.7697
HYUNDAI MOTOR CO,1.55266
"CELLTRION, INC.",2.58906
LG CHEM LTD,1.83438
SAMSUNG BIOLOGICS,1.30021
POSCO,1.75521
LG HOUSEHOLD,1.3396700000000001
SHINHAN FINANCIAL GR,1.6621666623277536
KB FINANCIAL GROUP,1.5247554655901203
KOREA ELECTRIC POWER,0.9697600000000001
NAVER CORP,1.98033
HYUNDAI MOBIS,2.39433
SK TELECOM CO LTD,1.5324200000000001
SAMSUNG C&T,0.88046
SK ENERGY,1.62931
SAMSUNG LIFE,2.0632657575509286
SAMSUNG SDS CO LTD,3.77409
"SAMSUNG SDI CO., LTD",1.54915
SK HOLDINGS,1.2618
AMOREPACIFIC CORP,2.14526
KT & G CORP,3.32045
KIA MOTORS CORP.,1.41828
LG ELECTRONICS INC,1.16059
S-OIL CORP,1.1795799999999999
LG CORP,1.56618
HANA FINANCIAL GROUP,1.4043756284351996
SAMSUNG FIRE & MARIN,1.6000495944236097
CELLTRION HEALTHCARE,2.4942900000000003
NETMARBLE CORP,7.775460000000001
LOTTE CHEMICAL CORP,2.15236
NCSOFT CORP,3.82715
SAMSUNG ELECTRO-MECH,1.32859
HYUNDAI HEAVY INDUST,1.2394399999999999
IND BANK OF KOREA,1.4266544152006377
KAKAO CORP,1.5090700000000001
KOREA ZINC CO LTD,9.35243
KT CORP,1.22325
LG UPLUS CORP,1.24555
"LG DISPLAY CO., LTD.",0.91143
HYUNDAI ENG. & CONST,1.93517
HYUNDAI STEEL CO,1.31859
KANGWON LAND INC,3.1343900000000002
HANON SYSTEMS,1.39906
AMOREG,2.9243200000000003
LOTTE SHOPPING,0.9353
E-MART INC,0.48252
COWAY CO LTD,0.69422
CJ CHEILJEDANG CORP,0.8810100000000001
HANKOOK TIRE,1.69608
SILLAJEN INC,8.9796
HANMI PHARMACEUTICAL,1.20581
KOREA GAS CORP,1.0240799999999999
GS HOLDINGS CORP,0.63875
MIRAE ASSET DAEWOO,1.818186201233422
HYUNDAI GLOVIS,1.56355
HANMI SCIENCE CO,1.0566
DB INSURANCE CO LTD,1.7260068258874322
SAMSUNG HEAVY IND,1.1818899999999999
NH INVESTMENT,1.6093799328399148
POSCO CHE,2.9716400000000003
SAMSUNG CARD CO LTD,1.295762056512765
KOREA INV HLDGS,2.0781195609914973
VIROMED COMPANY LTD,3.236
LOTTE CORP,1.82027
HANWHA LIFE INS,1.7831532791112212
NANOS CO LTD,0.9242100000000001
GS ENGINEERING,1.1678899999999999
SAMSUNG ENGINEERING,0.88659
KOREA AEROSPACE,1.31675
DOOSAN BOBCAT,1.6460400000000002
S-1 CORP,2.3221
CJ CORP,0.84349
DAEWOO SHIPBUILDING,1.30687
HOTEL SHILLA CO.,1.24476
HLB INC,4.51436
HANWHA CHEMICAL CORP,1.05457
MEDY TOX INC,0.9666299999999999
MACQUARIE KOREA,0.6753731053583905
HYUNDAI M & F INS.,1.632271561881388
DAELIM INDUSTRIAL CO,1.4940799999999999
CJ LOGISTICS CORP,0.81833
CJ ENM CO LTD,0.9062399999999999
KOREAN AIR LINES CO,0.59813
GS RET,0.48134
SSANGYONG CEMENT CO.,1.29243
SHINSEGAE,0.55425
