시기,지역,모든 암(C00-C96),"입술, 구강 및 인두(C00-C14)",식도(C15),위(C16),대장(C18-C20),간(C22),담낭 및 기타 담도(C23-C24),췌장(C25),후두(C32),폐(C33-C34),유방(C50),자궁경부(C53),자궁체부(C54),난소(C56),전립선(C61),고환(C62),신장(C64),방광(C67),뇌 및 중추신경계(C70-C72),갑상선(C73),호지킨 림프종(C81),"비호지킨 림프종(C82-C86,C96)",다발성 골수종(C90),백혈병(C91-C95),기타 암(R+B4:B28e. C00-C96)
1999-2003,전국,412.3,7.2,7.8,84.9,46.5,50.1,14.5,11.9,4.5,59.7,19.9,13.5,2.7,4.3,8.7,0.3,5.7,10.1,3.9,13.1,0.4,7.2,2.1,5.9,27.5
1999-2003,서울특별시,406.8,6.9,5.7,73.3,53.1,45.2,13,11.8,4,52,25.3,14.4,3.3,4.7,12.4,0.3,6.5,11.3,3.8,15.4,0.4,8.3,2.5,6.2,26.9
1999-2003,부산광역시,403.8,6.6,7.5,77.8,41.2,59.3,17.7,11.4,4.6,55.9,19.2,14.2,2.3,4.6,7.7,0.3,6.1,11.7,3.7,11.2,0.4,6.8,1.7,5.2,26.7
1999-2003,대구광역시,436.8,7.3,7.3,86.9,49.1,52.9,19.9,12.1,5,62.9,21.8,13.5,2.9,4.2,7.3,0.3,6.5,10.8,3.7,12.4,0.3,7,2.1,5.8,34.8
1999-2003,인천광역시,406.5,6.6,6.4,78.8,50.6,43.7,13.2,12.3,4.6,60.3,22.6,17.6,2.8,5.1,8.2,0.2,5.9,10.2,4.1,10.3,0.4,7.5,2.2,5.6,27.4
1999-2003,광주광역시,410.1,8.2,8.6,76.3,43.7,50.8,15.3,11,4.6,56.9,17.3,11.9,2,4.2,8.8,0.2,5.1,11.3,4.2,23.5,0.3,7.5,2,5.4,30.7
1999-2003,대전광역시,415.1,6.6,6,95.3,53.7,41.6,12.9,11.9,4.4,55.4,21.8,16.2,3.3,4.2,7.6,0.2,5.5,10.8,4.1,10.2,0.3,7.2,3.1,5.6,27
1999-2003,울산광역시,412.9,6.5,7.8,86.2,44.4,48.3,17.6,14,5,64.4,17.5,12.4,2.1,4.4,7.8,0.3,6.4,9.8,3.7,13.8,0.5,6.3,2.1,5,26.6
1999-2003,세종특별자치시,,,,,,,,,,,,,,,,,,,,,,,,,
1999-2003,경기도,399.4,6.7,6.2,79.4,50.1,44.8,12.7,11.9,4,57.2,21.4,14.1,3,4.6,9.7,0.3,5.9,10.3,3.8,12.8,0.4,7.2,2,6,25.1
