시기,지역,삶의질,당뇨,고혈압,스트레스 인지율,걷기실천율,월간 음주율,현재 흡연률,저염식선호율
2009-2013,서울특별시,0.954,7.2,19.16,30.5,55.66,60.68,23.4,40.62
2009-2013,부산광역시,0.96,6.9,17.3,26.84,44.2,62.08,25.38,42.36
2009-2013,대구광역시,0.958,6.9,17.5,27.66,45.32,59.56,25.16,47.66
2009-2013,인천광역시,0.95,7.5,19.58,31.38,49.82,59.06,26.04,41.04
2009-2013,광주광역시,0.958,7.1,16.74,28.52,42,58.6,22.92,40.14
2009-2013,대전광역시,0.963,7.1,18.4,29.36,46.6,56.98,23.98,38.5
2009-2013,울산광역시,0.961,6.8,17.14,23.42,44.88,59.62,24.8,44.22
2009-2013,세종특별자치시,0.951,7.5,19.2,33.3,46.4,60.45,24.6,44.55
2009-2013,경기도,0.956,7.5,19.7,30.24,44.06,59.18,25,41.56
2009-2013,강원도,0.954,7.5,20.6,27.34,35.62,60.56,26.9,43.92
2009-2013,충청북도,0.957,7,18.92,28.38,41.06,58.3,25.84,41.82
2009-2013,충청남도,0.952,7.4,19.88,29.04,39.8,55.28,25.28,37.26
2009-2013,전라북도,0.956,6.8,17.72,27.4,38.92,52.06,22.94,34.02
2009-2013,전라남도,0.957,6.7,16.3,24.02,50.22,53.96,23.32,33.44
2009-2013,경상북도,0.958,6.6,17.34,25.1,34.14,56.76,25.92,45.98
2009-2013,경상남도,0.957,6.3,16.56,25.02,37.28,60.72,24.96,40.44
2009-2013,제주특별자치도,0.951,6,18.72,30,32.9,59.16,27.08,36.16
2014-2018,서울특별시,0.955,7.48,19.4,29.6,59.46,63.24,20.42,40.125
2014-2018,부산광역시,0.958,7.48,17.92,26.32,47.78,64.02,21.92,42.6
2014-2018,대구광역시,0.96,7.54,17.6,25.36,43.26,61.26,21.6,46.975
2014-2018,인천광역시,0.949,8.66,20.76,31.06,48.38,63.06,23.98,42.675
2014-2018,광주광역시,0.957,7.48,16.92,27.88,43.02,60.6,21,41.475
2014-2018,대전광역시,0.961,8.04,19.18,28.58,50.56,60.84,21.58,38
2014-2018,울산광역시,0.962,7.92,18.36,24.7,40.68,63.32,21.4,46.75
2014-2018,세종특별자치시,0.949,8.18,19.08,29.12,34.1,58.16,18.82,41.225
2014-2018,경기도,0.954,8.1,20.32,30.04,43.84,62.54,21.88,42
2014-2018,강원도,0.956,8.44,21.82,27.7,34.1,62.92,24.08,44.675
2014-2018,충청북도,0.954,8.26,20.48,28.92,38.98,61.62,23.22,42.625
2014-2018,충청남도,0.947,8.2,20.48,29.32,38.08,61.32,23.28,40.425
2014-2018,전라북도,0.951,7.76,18.62,25.9,35.94,56.88,21.38,37.975
2014-2018,전라남도,0.956,7.9,17.96,25.72,39.8,58.22,21.68,38.15
2014-2018,경상북도,0.956,7.62,18.72,25.48,33.18,59.98,23.4,47.15
2014-2018,경상남도,0.958,7.02,17.52,24.78,33.84,63.6,21.9,41.4
2014-2018,제주특별자치도,0.955,6.52,19.68,27.68,34.16,61.6,23.54,37.975
